Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
tazmo133,829497163,2025/01/31,75,5615,n,,,Octavius the Octopus,The Claw,"Otherworldly Sceptre | Snowman Gun | Gravity Gun"
szymanosia00,562376038,2025/01/18,75,5615,n,INSOMNIAC,Crystalized,Friendly Raccoon,The Claw,"Snowball | Inflatable Saxophone | Frosted Santa | Blueberry Pie | The Midas Glove | Chicken Gun | Cymbals | Bauble Detector | AFK Sign | Electric Blue | Snowball Cannon"
JulioRiv10,572584284,2024/08/03,75,5614,n,Unique,Yellow sparkles,Tiny Elephant,,"Ancient Firecracker | R-80 | Saxophone | Fortune Telling Eight Ball"
4jvro,1746488161,2024/12/26,75,5613,y,,,,Comic Thwack,"NoobTube | Christmas Tree Lights | The Midas Glove | Bag O Christmas Tree Seeds | Sign: This Is NOT Epic | Megagavel | Stop Hitting Yourself | Breath of Ice | Seranok's Golden Chalice of Fame | Sea Sorcerer Staff | Sign: This Is Epic | Staff of Neverending Frost | Slush Cannon | Snowball Cannon | Staff of the Woodlands | Hypnocannon | AFK Sign | Pumpkin Gun | Earth Horn | Love Hurts Ray Gun | Mega Mallet | Necromancer Staff | Caltrops"
XMIZT,365647236,2024/09/30,75,5612,y,Nametag,,Brilliant Crown,Ragdoll,"Stop Hitting Yourself | Protest Sign: Noobs | Staff of the Woodlands | Zombie Protest Sign | Pest Hammer | Rolling Pin | Metal Guitar"
cuupkek,2630032232,2025/02/06,75,5608,y,Centurion,,,Eggify,"Instant Snowman | Touchdown Football | Bobo the Picnic Bear | Protest: More Gear Nao | Overseer Teddy | 2025 Fireworks | Party Horn | Fluffy Bunny | Lollipop Cat | Sakura Parasol | Banana Peel"
Cherry050802,226183340,2024/07/24,75,5608,n,,,,Ascend,"Stop Hitting Yourself | Staff of the Woodlands | Chameleon Potion | Disguise Watch | Slushie"
Vernidia,462177987,2024/05/14,75,5604,y,shrugface,The Blue Strange,Little Python,Lightning,"Sign: This Is NOT Epic | AFK Sign | Megagavel | Party Horn | Pumpkin Gun | Epic Popper | Earth Horn | Sign: This Is Epic"
pretzzelle,2259197086,2024/12/12,75,5604,y,Odd,Vivid Stars,Scorpion,Curse,"Banana Peel | Haunted Pizza | Alpaca Plushie | Carnagecopia | Bacon Frying Pan | Hedgehog Friend | Otherworldly Sceptre | Epic Popper | Sea Sorcerer Staff | Vine Staff | Crab Horde | The Celebrator | Spooky Guitar | RedBLOX | TOMATOES! | Skeleton Foam Finger | Beach Ball | Roman Candle | Jack Frost | The Christmas Creep | Pest Hammer | Science Project: Volcano | Rock It Guitar | Pinata Bat | Punk Wrist Cuff | Skele-tar | Helen The Hiphipapotamus | Metal Guitar | The Fiery Sun | Ultra-Flat Spray Paint | Mega Mallet | Saxophone | Soul Lantern | Monster Mash | Touchdown Football"
Dolkin7,3607897119,2025/01/04,75,5603,y,.,Rainbow Sparkles,Little Penguin,Abduct,"Snowball Cannon | Mega Mallet | Snowman Gun"
ie_ens,2342017301,2024/12/22,75,5603,n,Frosty,Bauble Master,Diamond Hen,Baublify,"NoobTube | Otherworldly Sceptre | Frost Potion | Metal Detector | Staff of the Woodlands"
faaiiza,2484526676,2025/01/16,75,5603,y,Bri'ish,White Divergent,Korblox Bird,Bird of Prey,"The Midas Glove | Carnagecopia | Megagavel | Chameleon Potion | Dragonshead Cannon | Snowman Gun | Face Off Potion | Staff of the Woodlands | Skull Gun"
clone90l,1740934403,2024/10/25,75,5601,y,Ominous,Jack O' Trio,Lil Obsy,Curse,"Otherworldly Sceptre | Megagavel | Stop Hitting Yourself | Mega Mallet | Pumpkin Gun | Killer Whale Launcher | Silly Guitar | Game Studio Executive Briefcase | Moneybag | Soul Lantern"
skadooboppop9,375658119,2024/12/19,75,5600,y,Missionary,,,Comic Thwack,"Eggshot | Snowball Cannon | Silly Guitar | Exploding Heart | Dance Potion | Marshmallow Chirp | Chick Horde | Zombie Protest Sign"
GtBettyNoireSs,3466523307,2025/02/12,75,5599,n,Naughty,North Star,Red Soul,Ascend,"Dragonshead Cannon | Valentine’s Throwing Stars | Stop Hitting Yourself | Megagavel | Teddy Bloxpin | Item of Sentiment"
ishinichiroz,2957416838,2024/12/03,75,5599,n,Snowman Title,Sprinkling Snowflakes,Rudolph the Reindeer,The Claw,"Stop Hitting Yourself | Festive Plungers | Pom-Poms"
yurestsu,2204210308,2025/02/18,75,5595,y,,,Bambu the Red Panda,Halrog of Prey,"Big Flower | Whoopee Cushion | Annoying Elf | Mega Mallet | Snowball Cannon | Berry Sweet Boba | Dozens of Dinosaurs | Present Basket | Pumpkin Gun | Dragonshead Cannon | Pink Coconut Drink | Selfie Stick | Snowman Gun"
Sofiaprincess88,177210061,2025/01/08,75,5595,n,)-:,Funny Bone,,Explode,"Epicsauce | Laser Finger Pointers | Fire Extinguisher | Chocolate Bunny | Clown Bomb | Throwing Barrel | Dragonshead Cannon | Monster Mash | Item of Sentiment | Teddy Bloxpin | Skeleton Foam Finger | Didgeridoo | Metal Guitar | Stop Hitting Yourself | Cymbals | Wooden Sword | Bug Net | Red Stratobloxxer | Face Off Potion | Zombie Protest Sign | Magical Umbrella | Marching Drum | April Showers | Torch | Silly Guitar | Jingle Bells | Magical Horseshoe | Saxophone | Staff of the Woodlands"
yanndy_op,950436995,2025/01/06,75,5595,n,,Vampiric Epic faces,,Separate,"Stop Hitting Yourself | Bauble Detector | Silly Guitar | Metal Guitar | Science Project: Volcano | Soul Lantern | Otherworldly Sceptre | Christmas Tree Launcher | Pom-Poms"
eby_mozgi00,2758599371,2025/02/09,75,5594,n,INSOMNIAC,Hot Headed,Epic Pumpkin,Lightning,"Annoying Elf | Shark Launcher | Otherworldly Sceptre | Dragonshead Cannon | Staff of Neverending Frost | Seranok's Golden Chalice of Fame | Game Studio Executive Briefcase | Moneybag | Soul Lantern | Pumpkin Gun | Stop Hitting Yourself"
Misia_2002X,1705656907,2024/08/02,75,5590,n,Auspicious,Corrupted Aura,Halrog,Abduct,"Snowball | Spider Flinger | Frosted Santa | Item of Sentiment | Bacon Frying Pan | Monster Friend | Bandit Dog | Egg Locater | Otherworldly Sceptre | Flower Feet | Epic Popper | Saxophone | Stop Hitting Yourself | Pumpkin Bucket | Starfish | Ham Bone | Staff of Neverending Frost | Tambourine | Crab Horde | Chick Horde | Big Flower | Slush Cannon | Witches Brew | Bloxilicious Bubble Gum | Basketball | Chocolate Bunny | Christmas Cookie | Skeleton Foam Finger | Tom's Beans | RedBLOX | Face Off Potion | Epicsauce | Disguise Watch | Metal Detector | Ghost Potion | Jack Frost | Magical Umbrella | Pirate Juice | Christmas Tree Lights | Pest Hammer | Starblox Latte | Paint Grenade | Dragonshead Cannon | Police Badge | Cymbals | Pinata Bat | Double Cheezburger | Fortune Telling Eight Ball | Skele-tar | Bauble Staff | Ancient Firecracker | Cherry Pie | Inflatable Saxophone | Egg Hammer | Teddy Bloxpin | Shuriken | Flower Crossbow | Roblox Snowglobe | Speech Bubble | The Fiery Sun | Vine Staff | Drone | Shade Potion | Green Epicsauce | Blueberry Pie | Soul Lantern | Flute | Snowball Launcher | Metal Guitar | Rolling Pin | Snowman Gun | Moneybag | R-80 | Spell Book of Ice Cold Revenge"
XLegend5000,118565298,2024/07/01,75,5590,n,Overseer,,Lil Obsy,Zero Gravity Ragdoll,"Otherworldly Sceptre | Staff of the Woodlands"
ATH3NERIE,534809997,2025/02/14,75,5590,n,,Floating Flower,Mini Zara,The Claw,"Neon Laser Launcher | Chicken Gun | Super Slash Cat Claws | Megagavel | Snowman Gun | Big Stick | Boba Tea | Confetti Cannon | Staff of the Woodlands | Caltrops"
DN_HAHAHAHAHA,3966059662,2025/01/21,75,5588,n,,Corruption,,Zero Gravity Ragdoll,"Steampunk Zapper | Giant Ninja Star | Shuriken | Mega Mallet | Nunchucks"
combatbeatle19,3566230945,2024/09/27,75,5587,n,MURICAN,,,Drop Stars,"Stop Hitting Yourself | Laser Finger Pointers | Baseball Bat | Dragon Plushie | Foam Finger | Piggybank | Robo Companion | Bloxiade | Crab Horde | Big Flower | The Fiery Sun | BANG! | Chicken Gun | Hot Dog | Megagavel | Noise Maker | Torch | Chocolate Milk | Beach Staff"
shhelleyy,2996071906,2025/02/20,75,5584,n,Smitten,Doodle Hearts,Heart Parasite,Water Drop,"Alpaca Plushie | Megagavel | Stop Hitting Yourself | Gravity Gun | Big Flower | Meteor Staff | Smashing Drum | Killer Whale Launcher | Staff of the Woodlands"
IBluePowerI,374376383,2025/02/13,75,5584,n,Eternal,Sonic Boom,,Ragdoll,"Laser Finger Pointers | Snowball | Icicle Cannon | Kunai | Item of Sentiment | Bacon Frying Pan | Throwing Spork | Fireworks | Otherworldly Sceptre | Noise Maker | Saxophone | Yellow Snowball | Stop Hitting Yourself | Sea Sorcerer Staff | Bug Net | Tennis Racket | Red Stratobloxxer | Slush Cannon | Spray Paint | RedBLOX | Fake C4 | 8-Bit Ninja Stars | Snowball Cannon | Bauble Detector | Frost Potion | Bacon Launcher | Megaphone | Pest Hammer | Slushie | Bloxxy Radar | Dragonshead Cannon | Cymbals | Valentine’s Throwing Stars | Spell Book of Ice Cold Revenge | Torch | Bag O' Noobs | Staff of the Woodlands | Pool Noodle | Giant Ninja Star | Retro Candy | Frosty the Snowfriend | Big Stick | Snowball Launcher | Drone | R-80 | Ultra-Flat Spray Paint | Ancient Firecracker | Green Epicsauce | Ticket Launcher | Bugle | Starfish | Personal Fighter Jets | Kittypult | Science Project: Volcano | Caltrops"
MerryXC,256488735,2024/11/30,75,5584,n,,,,Explode,"BANG!"
Jamie_Liverpoolfan,2267235157,2024/06/02,75,5583,n,Winner,Sonic Boom,Twitter Bird,The Claw,"TOMATOES! | Stop Hitting Yourself | Shark Launcher"
l0srr,143501648,2025/02/19,75,5582,y,Nametag,,Pink Possum,Spaghettificate,"Cake | Stop Hitting Yourself | Otherworldly Sceptre | Berry Sweet Boba"
flakipan,582545547,2024/12/17,75,5582,n,Benevolent,Ethereal Mist,Little Penguin,Lightning,"Roman Candle | Dozens of Dinosaurs | Otherworldly Sceptre | Snowman Gun | Shade Potion | Snowball Cannon | Rainbow Fireworks | Torch | Bauble Detector"
theonlyjanee,142629961,2025/01/11,75,5580,y,bearface,,Dazzling Heart,Drop Stars,"Snowball Cannon | Bauble Detector | Staff of the Woodlands"
svxann,670988844,2024/09/01,75,5579,n,,Crystalized,Round Cat,Abduct,"Science Project: Potato | Fake C4 | Neon Laser Launcher | Staff of Neverending Frost | Stop Hitting Yourself | Staff of the Woodlands | Ticket Launcher | Exploding Heart | Dragonshead Cannon"
lxvmal,1513729233,2024/06/27,75,5579,y,,,,,"Laser Finger Pointers | Neon Laser Launcher | Panda Friend | Disguise Watch | Apple Pie | Alpaca Plushie | Dance Potion | Compass | Monster Friend | Lightning Wand | Ink Launcher | Flower Feet | Exploding Heart | Chocolate Milk | Saxophone | Epicsauce | Cake | Waffle | Clown Bomb | Halloween Sparkler | Tambourine | Space Sandwich | Cowbell | Magic Dragon | Red Stratobloxxer | Moonwalk Potion | Item of Sentiment | Bunch of Balloons | Big Flower | Stop Hitting Yourself | Throwing Spork | Spinning Robot Helmet | Foam Finger | Whoopee Cushion | Bugle | Didgeridoo | Bloxilicious Bubble Gum | Basketball | Fake C4 | April Showers | Flute | Bug Net | Fire Extinguisher | Ice Cream | TOMATOES! | R-80 | Confetti Cannon | Torch | Tom's Beans | Magical Umbrella | Pizza | Paint Grenade | Chameleon Potion | Protest Sign: Touch Grass | Sparkler | Hot Dog | Magical Horseshoe | Pest Hammer | Starblox Latte | Staff of the Woodlands | Dragonshead Cannon | Earth Horn | Cymbals | Ultra-Flat Spray Paint | Eggstaff | Fortune Telling Eight Ball | Bonk Bat | Smore | Silly Guitar | Cherry Pie | Marshmallow Chirp | Protest Sign: Eggs are for eating | Teddy Bloxpin | Chimp Friend | Face Off Potion | Menacing Mage Energy Ball | Rolling Pin | The Fiery Sun | Wooden Sword | Drone | Taco | Green Epicsauce | Ancient Firecracker | Latke | Watermelon | Protest Sign: Noobs | RedBLOX | 8-Bit Staff | Necromancer Staff | Ra'k Guitar | Noise Maker"
joaozinhomarcelinho1,670309427,2024/08/21,75,5579,y,.,,Dazzling Heart,Shark Attack,"Laser Finger Pointers | Baseball Bat | Neon Laser Launcher | Panda Friend | Frosted Santa | Otherworldly Sceptre | Slingshot | Exploding Heart | Epic Popper | Chocolate Milk | Saxophone | Epicsauce | Dragon Plushie | Clown Bomb | Halloween Sparkler | Protest Sign: Egg Hunt Nao | Santa | Cowbell | Ghost Bag | Bunch of Balloons | Slush Cannon | Clown Gun | Witches Brew | RedBLOX | Basketball | Fake C4 | Fire Extinguisher | Foam Finger | Throwing Barrel | Marching Drum | Skeleton Foam Finger | Squid Launcher | Tom's Beans | Frost Potion | Pizza | Red Foam Finger | Chameleon Potion | Hot Dog | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Magic Dragon | Paint Grenade | Fortune Telling Eight Ball | Inflatable Saxophone | Silly Guitar | Protest Sign: Eggs are for eating | Marshmallow Chirp | Frosty the Snowfriend | Bloxiade | Metal Guitar | Rolling Pin | The Fiery Sun | Wooden Sword | Confetti Cannon | Nunchucks | Face Off Potion | Spinning Robot Helmet | Jingle Bells | Ra'k Guitar | Snowball | Disguise Watch | Frying Pan | Apple Pie | Alpaca Plushie | Dance Potion | Compass | Liberty Torch | Noise Maker | Stop Hitting Yourself | Cake | Waffle | Bug Net | Goblet | Space Sandwich | Crab Horde | The Celebrator | Red Stratobloxxer | Moonwalk Potion | Blue Throwing Barrel | Touchdown Football | Beach Staff | Tiger Warrior Club | Piggybank | Protest Sign: Save the Noobs | Throwing Spork | Spray Paint | Protest Sign: Noobs | Didgeridoo | Lucky Harp | Bloxilicious Bubble Gum | Police Badge | Flute | Starfish | Torch | Ancient Firecracker | Item of Sentiment | Drone | Robo Companion | Christmas Cookie | Green Epicsauce | Starblox Latte | Monster Mash | Whoopee Cushion | April Showers | Pumpkin Bucket | Red Pirate Juice | Lightblox Jar | AFK Sign | Chimp Friend | Latke | Taco | Metal Detector | Magical Horseshoe | Sparkler | Magical Umbrella | Science Project: Potato | Bonk Bat | Big Flower | Party Horn | Science Project: Volcano | Dragonshead Cannon | Eggstaff | Cymbals | Pinata Bat | Double Cheezburger | Blueberry Pie | Chocolate Bunny | Hot Chocolate | Tambourine | Cherry Pie | Bloxxy Radar | Staff of the Woodlands | Teddy Bloxpin | Smore | Flower Feet | Roblox Snowglobe | Misfortune Cookie | Winter Snowfall | Ice Cream | Ultra-Flat Spray Paint | Game Studio Executive Briefcase | R-80 | Director's Clapboard | Red Balloon | Watermelon | Bugle | Chicken Gun | Epiczza | Pom-Poms | BANG! | Beach Ball | Rainbow Fireworks"
TheGreatWarrior_Kris,323068327,2024/10/11,75,5579,y,Epic,Conscience,Brilliant Crown,Ascend,"Laser Finger Pointers | Item of Sentiment | Bacon Frying Pan | Sign: This Is NOT Epic | Megagavel | Bighead Potion | Ghost Bag | Slurpee | Zombie Protest Sign | Fake C4 | Ghost Potion | Noob Pop | TOMATOES! | Monster Mash | Skeleton Foam Finger | Stop Hitting Yourself | Sign: This Is Epic | Torch | Noob Hot Chocolate | Protest Sign: Save the Noobs | AFK Sign | Slushie | Piggybank | Speech Bubble | The Fiery Sun | Pumpkin Bucket | Confetti Cannon | Dragonshead Cannon"
ILovePlayb_icarti,4586283775,2025/02/12,75,5577,n,,,Crocodile,Water Drop,"Bongos | Ham Bone | Red Foam Finger | Kittypult | Red Balloon | Stop Hitting Yourself | Staff of Neverending Frost | Metal Guitar | Noob Pop | Beast Claws | Pom-Poms | Tiger Warrior Club"
NickFireYT,290016780,2024/07/10,75,5576,n,bearface,Ghast,Halrog,Curse,"Stop Hitting Yourself | Magical Umbrella | Ultra-Flat Spray Paint | Spray Paint | Drone | Soul Lantern"
Itblackcat,849012281,2024/12/29,75,5575,y,Sweetheart,Hot Headed,Dazzling Heart,Water Drop,"Pirate Hook | Chicken Gun | Super Slash Cat Claws | Spell Book of Ice Cold Revenge | Snowball Cannon | Annoying Elf | Victrola | Guitarmy | Present Basket | Helen The Hiphipapotamus | Princess Mischief's Wand"
cookie_god12345,879418474,2024/11/23,75,5575,n,,,,Drop Stars,"Basketball | Slateskin Potion | Squid Launcher | Monster Friend | Otherworldly Sceptre | Megagavel | Sparkler | Paint Grenade | Halloween Sparkler | Tambourine | Crab Horde | Rainbow Fireworks | Christmas Tree Launcher | Staff of the Woodlands"
mmssnn2,1729865189,2024/07/30,75,5574,y,2nd Seasoneer,Red Divergent,,Separate,"Stop Hitting Yourself | Eggstaff | Staff of Neverending Frost | Beach Gun | Metal Guitar | Clown Bomb | Otherworldly Sceptre | Necromancer Staff"
altaccxjim,3050029887,2024/09/09,75,5574,n,Sussy,Wrathful Eye,Henry the Hedgehog,Lovely Explosion,"Fire Breath Potion | Skelefriend"
arrista_rosegold,2410012159,2025/02/11,75,5573,y,:-),Golden Rays,Giraffe,Shark Attack,"Sign: This Is NOT Epic | Torch | Staff of the Woodlands | Valentine’s Throwing Stars | Bongos | Selfie Stick | Red Stratobloxxer | Soul Lantern | Bloxxy Radar"
kyxxnii,1285217412,2024/06/01,75,5572,n,Imbecile,,Blobby Fish,The Claw,"Monster Mash | Egg Hammer | Ticket Launcher | Stop Hitting Yourself | Vine Staff | Disguise Watch | Wooden Sword | Dragonshead Cannon"
zVxGGo,231784714,2024/09/28,75,5572,n,,,,Explode,"Stop Hitting Yourself | Fake C4 | Skele-tar | Carnagecopia | Otherworldly Sceptre | Dragonshead Cannon"
danielaTsv,819537427,2024/06/21,75,5570,n,Worthless,Global Snowglobe,Evil Duck,Pop,"Stop Hitting Yourself | Eggstaff | Otherworldly Sceptre | Halloween Sparkler | Protest Sign: Noobs | Teddy Bloxpin"
rvuxia,1513432830,2024/09/30,75,5570,y,Special,Vivid Stars,Little Monkey,Gravestone,"Alpaca Plushie | Noise Maker"
LezzIq,173509980,2024/08/23,75,5569,n,:-),,,The Claw,"Fake C4 | Squid Launcher | Moneybag | Dragonshead Cannon | Protest Sign: Noobs | Spray Paint | Pest Hammer | Staff of the Woodlands"
EviIdoom,149721971,2024/10/22,75,5568,n,SHERIFF,Undead,Epic Pumpkin,Halrog of Prey,"4th of July Fireworks | Chicken Gun | Carnagecopia | Mariachi Guitar | Staff of Neverending Frost | Spider Flinger | Ghost Potion | Necromancer Staff | Annoying Elf | Mega Mallet | Epiczza | Beehive | Party Horn | Jack Frost | Staff of the Woodlands | Spook Launcher | Soul Lantern"
Anturnix,372037283,2024/09/06,75,5568,y,,,,Confetti Explosion,"Balloon Sword | TOMATOES! | Otherworldly Sceptre | Protest Sign: Touch Grass | Science Project: Volcano | Blue Throwing Barrel | Disco Potion | 2018 Fireworks"
Xeltyk,3648428805,2025/01/20,75,5567,n,eyesnlips,Conscience,Flying Angel,Shark Attack,""
stunningbroad,397269812,2025/02/02,75,5566,n,Gentle,Glint in My Eye,Little Monkey,Helium Head,"Shrunken Head | War Rocks | Big Flower | Victrola | Bighead Potion | Hand Cannon | Snowman Gun | Mega Mallet | Powerful Paintbrush | Ceramic Potion | Snowball Cannon | Bauble Detector | Pest Hammer | Science Project: Volcano | Roboarm | Helen The Hiphipapotamus | Selfie Stick | Protest Sign: Pro Fake Mustache | Snowball Launcher | Caltrops"
rawmhen,1833133336,2024/10/15,75,5566,y,shrugface,Crystal Streaks,Macaron Mobile,The Claw,""
KABOOMCHAOS,1200969727,2024/07/09,75,5565,y,Nametag,Corrupted Aura,Suspicious Present,Mined,"Beach Gun | Carnagecopia | Snowman Gun | Staff of Neverending Frost | Vine Staff | Bonk Bat | Pumpkin Gun | Punk Wrist Cuff | Big Stick"
mourningaf,157155186,2025/02/10,75,5564,y,Heartbroken,Red Divergent,Pink Possum,Cupid's Arrow,"Stop Hitting Yourself | Laser Finger Pointers | Halloween Sparkler | Alpaca Plushie | Monster Mash | Santa | Berry Sweet Boba | Otherworldly Sceptre | Heart Balloon"
Lifes_Lemons21,504244338,2025/02/11,75,5563,y,Saviour,,Pink Possum,Cupid's Arrow,"Valentine’s Throwing Stars | Frisbee | Bauble Detector | Shark Launcher | The Christmas Creep | Ink Launcher | Sign: This Is NOT Epic | Megagavel | RoVacuum | Annoying Elf | Starfish | Snowman Gun | Snowball Cannon | Berry Sweet Boba | Blueberry Pie | AFK Sign | Sign: This Is Epic | Bloxxy Radar | Science Project: Volcano | Noob Pop | Spell Book of Ice Cold Revenge"
backpiercing,328605916,2024/05/11,75,5561,n,shrugface,,,Shark Attack,"Starfish | Alpaca Plushie | Protest Sign: Egg Hunt Nao | Sign: This Is NOT Epic | Chocolate Milk | Pom-Poms"
strangeinternetboy,1556514096,2024/09/11,75,5561,y,Kawaii,Rainbow Sparkles,American Owl,Comic Thwack,"Laser Finger Pointers | Jingle Bell Launcher | Annoying Elf | 4th of July Fireworks | Spider Flinger | Frying Pan | Alpaca Plushie | Shark Launcher | Carnagecopia | The Christmas Creep | Monster Friend | Eggshot | Egg Locater | Hedgehog Friend | Otherworldly Sceptre | Ink Launcher | Sign: This Is NOT Epic | Liberty Torch | Megagavel | Bighead Potion | Spell Book of Ice Cold Revenge | Neon Laser Launcher | Ghost Potion | Steampunk Zapper | Saxophone | A Very Special Monster | Stop Hitting Yourself | Throwing Bolts | Protest Sign: Noobs | Cake | Dragon Plushie | Halloween Sparkler | Sea Sorcerer Staff | Pumpkin Bucket | Sign: This Is Epic | Ham Bone | Staff of Neverending Frost | Badblox Hatchling | Crab Horde | Santa | Big Flower | Christmas Tree Launcher | Tennis Racket | Carrot Slingshot | Mega Mallet | Red Stratobloxxer | Chick Horde | Ghost Bag | Shuriken | Rock It Guitar | Slush Cannon | Epicsauce | Slurpee | Speech Bubble | Menacing Mage Energy Ball | Cursed Mummy Friend | Zombie Protest Sign | Didgeridoo | Snowball Launcher | Basketball | Misfortune Cookie | Vine Staff | Rolling Pin | Haunted Pizza | Protest Sign: Eggs are for eating | Piggybank | EPIC Stamper | Noob Pop | TOMATOES! | Robo Companion | Skeleton Foam Finger | Fake C4 | Squid Launcher | Bauble Staff | Red Pirate Juice | Earth Horn | Christmas Cookie | Eggstaff | Bonk Bat | Paint Grenade | Metal Detector | Staff of the Woodlands | Jack Frost | Magical Umbrella | Slushie | Noob Hot Chocolate | Pest Hammer | Party Horn | Science Project: Volcano | Science Project: Potato | Egg Hammer | Pumpkin Gun | AFK Sign | Hot Chocolate | Fortune Telling Eight Ball | Skele-tar | Monster Mash | Silly Guitar | Cherry Pie | Love Hurts Ray Gun | Frosty the Snowfriend | Teddy Bloxpin | Police Badge | Flower Crossbow | Roblox Snowglobe | Red Balloon | Winter Snowfall | Starfish | Confetti Cannon | Shade Potion | Bandit Dog | Soul Lantern | Ticket Launcher | Bugle | Director's Clapboard | Waffle | Jingle Bells | Tiger Warrior Club | Ra'k Guitar | Rainbow Fireworks"
Cossyla2,1581445273,2025/02/06,75,5559,n,Eggsterminator,Egg Trio,,Lightning,"RedBLOX | Snowball Cannon | Torch | Big Flower"
Rxssa_x,636481652,2024/09/27,75,5559,y,Special,Pink sparkles,,Ghost,"Skull Gun | Egg Locater | Frost Potion | Eggstaff | Moonwalk Potion | Metal Guitar | Protest Sign: Touch Grass | Flute | Protest Sign: Noobs | Stop Hitting Yourself | Teddy Bloxpin | Marching Drum | Item of Sentiment | Starblox Latte | Lightblox Jar"
pr1ncezzfr33k,609064581,2025/01/07,75,5559,y,,Lightning Cloud,,Ghost,"Panda Friend | Ghost Bag | Fortune Telling Eight Ball | Shade Potion | Bandit Dog | Skeleton Foam Finger | Magical Umbrella | Love Hurts Ray Gun | Snowball Cannon | Haunted Pizza"
Txssico,3260888470,2025/02/11,75,5558,n,,Love Aura,,Helium Head,"Monster Friend | Electric Blue | Bongos | Victrola | Halloween Sparkler | Sonic Boom Tuba | Lollipop Cat | Berry Sweet Boba | Megaphone | Double Cheezburger | Pool Noodle"
chickenslayer801,82746793,2025/01/06,75,5558,n,Fugitive,,Gourd Friend,Ascend,"Kittypult | Alpaca Plushie | Snowball Cannon | Bauble Detector | Otherworldly Sceptre | Megagavel | Snowman Gun | Hot Chocolate | Jack Frost | Christmas Tree Launcher"
eryxium,437604806,2024/05/21,75,5556,n,,,,Gravestone,"Killer Whale Launcher | Taco | Clown Gun"
KingCryptid77,190428753,2024/11/13,75,5555,n,Noble,,Halrog,Ragdoll,"Tom's Beans | Christmas Cookie | Cake | Bugle | Chocolate Milk | Haunted Pizza | Soul Lantern"
catbaggie,1338929345,2024/06/10,75,5555,y,Psycho,Azure Eye,Bunny Egg,Mined,"Noob Pop | Alpaca Plushie | Carnagecopia | Squid Launcher | Sign: This Is NOT Epic | Epic Popper | Anubis Staff | Science Project: Volcano | Killer Whale Launcher | Starfish | Big Flower | Noob Hot Chocolate | TOMATOES! | Game Studio Executive Briefcase | Bighead Potion | Vine Staff | Speech Bubble | Steampunk Zapper | Sign: This Is Epic"
Pumpking_Roblox,1681216095,2024/10/17,75,5555,n,Cute,Vampiric Epic faces,Red Eye,Curse,"Stop Hitting Yourself | Annoying Elf | Chicken Gun | Staff of Neverending Frost | Drone | Clown Bomb | Dragonshead Cannon | Clown Gun | Pumpkin Gun"
GreatSylveon,172146564,2024/12/15,75,5554,y,Nametag,Purple Ringed,Skating Penguin,Spaghettificate,"Christmas Tree Topper | Laser Finger Pointers | Snowball | Panda Friend | Dance Potion | Shark Launcher | Bacon Frying Pan | Bandit Dog | Otherworldly Sceptre | Flower Feet | Chocolate Milk | Saxophone | Stop Hitting Yourself | Dragon Plushie | Starfish | Tambourine | Big Flower | Green Balloon | Lightblox Jar | RedBLOX | Basketball | April Showers | Foam Finger | Christmas Cookie | Moonwalk Potion | The Christmas Creep | Snowball Cannon | Bauble Detector | Frost Potion | Chocolate Bunny | Red Foam Finger | Chameleon Potion | Pom-Poms | Neon Throwing Stars | Jack Frost | Magical Umbrella | Hot Dog | Bonk Bat | Pest Hammer | Slushie | Staff of the Woodlands | Dragonshead Cannon | Protest Sign: Noobs | Cymbals | Taco | Eggstaff | Fortune Telling Eight Ball | Inflatable Saxophone | Big Stick | Giant Ninja Star | Cherry Pie | Metal Guitar | Frosty the Snowfriend | Teddy Bloxpin | Ancient Firecracker | Green Epicsauce | Roblox Snowglobe | Rolling Pin | Drone | Noise Maker | Boomerang | Nunchucks | Face Off Potion | R-80 | Protest Sign: Eggs are for eating | Flute | Bugle | Starblox Latte | Protest Sign: Save the Noobs | Jingle Bells | Tiger Warrior Club | Epicsauce | 2018 Fireworks"
Snoopywolf124,310001817,2025/02/19,75,5553,n,Girly,Rainbow Sparkles,Arctic Wolf,Comic Thwack,"Decoy Deploy | Stop Hitting Yourself | Gravity Gun | Bighead Potion | Subspace Debonair Disguise | Staff of the Woodlands | Helper Cannon | Double Cheezburger | Pumpkin Gun | Snowman Gun"
Meow_Meowzinha,1186347659,2024/10/06,75,5553,n,Cute,,,Comic Thwack,"Stop Hitting Yourself | Egg Locater | Flower Feet | Killer Whale Launcher | Marching Drum | Silly Guitar | Dragonshead Cannon"
versiana_chan,2210931079,2024/12/25,75,5553,n,Snowflake,Global Snowglobe,Polygonal Snowman,The Claw,"Otherworldly Sceptre | Ghost Potion | Stop Hitting Yourself | Chick Horde | Snowball Cannon | Bauble Detector | Torch | Staff of the Woodlands | Pumpkin Gun"
littlegirIdes,1151201599,2025/02/01,75,5550,y,Kawaii,Love Aura,Sparkles the Flying Unicorn,Lovely Explosion,"Super Slash Cat Claws | Megagavel | Bighead Potion | A Very Special Monster | Present Basket | Lollipop Cat | Sakura Parasol | Pinata Bat | Ghost Potion | Love Hurts Ray Gun"
